Feature,pearson Correlation,pearson Correlation Rank,spearman Correlation,spearman Correlation Rank,kendall Correlation,kendall Correlation Rank
feature22,0.48351409,1,0.209914891,4,0.158518068,4
feature5,-0.211064332,2,-0.335792273,1,-0.241740176,1
feature19,-0.169131911,3,-0.279242241,2,-0.206977581,2
feature6,-0.122942425,4,-0.040149925,23,-0.031287174,23
feature10,-0.111086847,5,-0.04698841,21,-0.032690637,22
feature67,-0.10754629,6,-0.123437456,7,-0.091344584,7
feature91,-0.094203526,7,-0.055608277,20,-0.041503863,20
feature24,-0.081598585,8,-0.046350587,22,-0.034839218,21
feature36,-0.080700632,9,-0.039912272,24,-0.02975733,24
feature98,-0.077274054,10,-0.033155375,29,-0.024976813,29
feature16,-0.075203289,11,-0.038039324,25,-0.028425265,25
feature101,-0.071924334,12,-0.012232635,68,-0.009289601,68
feature86,-0.071281753,13,-0.030682313,32,-0.023024266,32
feature55,-0.071204981,14,-0.035197195,27,-0.026530169,27
feature66,-0.071078201,15,-0.024475746,38,-0.018191812,40
feature61,-0.069751801,16,-0.02516914,34,-0.018598316,39
feature84,-0.069110226,17,-0.031647775,30,-0.023733687,30
feature90,-0.068562734,18,-0.030696498,31,-0.023116597,31
feature47,-0.067523902,19,-0.017734269,52,-0.013410628,54
feature82,-0.067186788,20,-0.027159694,33,-0.020385249,35
feature40,-0.067183221,21,-0.014786338,61,-0.011156641,61
feature12,-0.066918322,22,-0.012792907,65,-0.009753186,65
feature18,-0.066014401,23,-0.014955726,60,-0.011227487,60
feature25,-0.065946803,24,-0.022184269,43,-0.016702112,43
feature48,-0.065451754,25,-0.010813817,73,-0.008296376,73
feature39,-0.065220322,26,0.000673048,101,0.000128953,103
feature58,-0.06491006,27,-0.022246516,42,-0.016488763,44
feature72,-0.064594702,28,-0.023302066,40,-0.017444018,41
feature79,-0.063968688,29,-0.017791697,51,-0.013279701,55
feature23,-0.063946662,30,-0.033460637,28,-0.025239105,28
feature52,-0.062432433,31,-0.018051074,50,-0.013602069,53
feature62,-0.061935003,32,-0.004848032,90,-0.003624334,90
feature68,-0.061867554,33,-0.00234969,97,-0.001737512,97
feature87,-0.061729149,34,-0.016217067,57,-0.012119242,59
feature50,-0.061666904,35,-0.009295222,79,-0.007077867,77
feature9,-0.061607821,36,-0.008514825,81,-0.00624663,82
feature17,-0.061284442,37,-0.014457542,62,-0.010886586,62
feature94,-0.060366563,38,-0.011212651,71,-0.008343109,72
feature43,-0.058808896,39,-0.009040461,80,-0.006813568,80
feature69,-0.058719693,40,-0.006622062,86,-0.005037128,89
feature26,-0.058275771,41,-0.002875173,96,-0.002194259,95
feature73,-0.057737102,42,-0.020075884,47,-0.015083079,47
feature103,-0.057562726,43,-0.016644736,56,-0.012542691,57
feature42,-0.057285582,44,-0.012592721,67,-0.009390492,67
feature29,-0.057043949,45,-0.02501026,37,-0.018787974,37
feature45,-0.05693127,46,-0.00945843,76,-0.006850483,79
feature96,-0.05665927,47,-0.007233853,85,-0.005416846,87
feature0,-0.056028139,48,-0.0126678,66,-0.009537213,66
feature95,-0.05584253,49,-0.018560541,49,-0.013834635,51
feature104,-0.055733077,50,-0.017728052,53,-0.013235969,56
feature34,-0.055582598,51,-0.010973417,72,-0.008274154,74
feature74,-0.054998398,52,-0.020141851,46,-0.015101608,46
feature8,-0.054786456,53,-0.008170038,83,-0.006130053,83
feature63,-0.053575195,54,-0.009960209,75,-0.007375669,76
feature37,-0.052973724,55,0.009421108,77,0.007049032,78
feature3,-0.052465536,56,-0.022430795,41,-0.016957335,42
feature7,-0.052374806,57,-0.00017551,104,-7.81E-05,104
feature70,-0.052307773,58,-0.014225616,63,-0.010670933,63
feature89,-0.052121544,59,0.004565798,91,0.003407832,91
feature38,-0.052111133,60,-0.020162726,45,-0.015071493,48
feature51,-0.051716661,61,-0.000564933,102,-0.000381774,101
feature21,-0.050019494,62,-0.004021021,92,-0.003016101,92
feature106,-0.050018152,63,-0.012108874,69,-0.009118603,70
feature28,-0.049792484,64,-0.013813666,64,-0.010343035,64
feature53,-0.049586899,65,-0.008382463,82,-0.006325061,81
feature75,-0.047501383,66,0.00341579,93,0.002496564,93
feature4,-0.047197278,67,-0.003381031,94,-0.002475234,94
feature46,0.047006116,68,0.219473524,3,0.16157624,3
feature56,-0.046239443,69,0.016648415,55,0.012283421,58
feature83,-0.044455032,70,0.002161004,98,0.00161931,98
feature93,-0.043969332,71,0.011895254,70,0.008908713,71
feature102,-0.04361799,72,0.001314688,99,0.000986474,99
feature99,-0.03992553,73,-0.000829496,100,-0.000660173,100
feature49,0.039781385,74,0.059444009,19,0.044744605,19
feature81,-0.038956652,75,0.025013809,36,0.018780407,38
feature20,0.030394378,76,0.017620754,54,0.015885581,45
feature64,0.029646439,77,0.024137037,39,0.021792282,34
feature76,-0.029601207,78,0.061542558,18,0.047328459,18
feature80,0.028908532,79,0.006528103,87,0.005933909,84
feature88,0.028699199,80,0.022062749,44,0.019953934,36
